X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
115.737872435545,-31.7374675464719,"9435613668",node,18.75,dentist,dentist,Smiles in Currambine,,,,,,,,,,,,,,,,,,,,"10",Chesapeake Way,,,144162847,2,2023/11/18 06:08:11+00,c5a79a04101b441cabf900084069c8ea
149.011367366873,-35.2245206510385,"8376935477",node,21.875,doctors,doctor,Holt Medical Centre,,,general,,,,,,,,,,,,,,,,,"8",Holt Place,,,137912206,2,2023/06/29 10:16:30+00,c213741a374443e4b704773f1953f3ae
145.126769731061,-37.8013339396787,"6016903975",node,15.625,pharmacy,pharmacy,Pharmasave,,,,,,,,,,,yes,,,,,,,,,,,,,63918538,1,2018/10/27 03:28:55+00,e2bb84498cf747d1bfb16bc4ad765a55
151.757338022752,-32.4022077048735,"9378318557",node,9.375,pharmacy,,William Valley Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,115549320,1,2021/12/30 06:43:31+00,3586d6db032c45e3ad249b222ae9892a
144.777260294341,-37.7594752181444,"6110287561",node,12.5,clinic,clinic,Mercy Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,65087708,1,2018/12/02 05:56:40+00,01bbe8b7aeb445b6a2e55dd975f46994
,,"230865342",way,25,dentist,dentist,Sunshine Family Dental,,Vicmap Address,,,,,,,,,,,,,,,,,,"234",Hampshire Road,"3020",,143095262,6,2023/10/25 05:49:42+00,b51ae1fde7c8443188dba061154916a1
,,"1025064216",way,15.625,hospital,hospital,Collarenebri Hospital,,,,,,,,,,,,,yes,,,,,,,,,,,116647053,1,2022/01/27 04:24:30+00,3efc1c2b05c74fa88e31d0996d4ffb88
138.663877472861,-34.8788219627778,"8787747412",node,12.5,pharmacy,pharmacy,,,,,,,,,,,,yes,,,,,,,,,,,,,105650761,1,2021/06/01 03:17:50+00,161e7884e1c84e66a3507f7881985468
151.288006178863,-33.7536562355232,"762746777",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,115806295,2,2022/01/05 17:28:48+00,7c6aff8326434c2583a483a5715c5d45
151.038109961667,-33.9144929713014,"9222814690",node,25,doctors,doctor,Rickard Road Medical Centre,,,,,,Mo-Su 08:30-23:00,,,,,,,,,,,,,,"41",Rickard Road,"2200",,113354960,1,2021/11/04 02:43:30+00,1b3ae28d83d94c43b1b27256f4b62e5e
146.288320880896,-36.3738285225467,"6853098585",node,9.375,pharmacy,,Chemist Warehouse,,,,,,,,,,,,,,,,,,,,,,,,140445601,3,2023/08/27 10:40:06+00,d638c41a50424584a440e28e4c3bb360
,,"894413533",way,15.625,pharmacy,pharmacy,Chemist Warehouse,,,,,,,,,,,yes,,,,,,,,,,,,,114382178,2,2021/11/30 00:51:19+00,4d137b72ff134eaeabf8f56983981628
115.807431335411,-32.0529791457294,"8911283906",node,25,doctors,doctor,Willagee Medical Centre,,,,,,"Mo-Fr 09:00-17:00; Sa 09:00-12:00; Su,PH off",,,,,,,,,,,,,,"60",Archibald Street,"6156",,124670014,5,2022/08/09 07:11:15+00,0dbd87381e744296930a5596639655cc
151.206543719205,-33.8962247809728,"265859878",node,12.5,pharmacy,,Club Pharmacy,,,,,,,,,,,yes,,,,,,,,,,,,,131960024,6,2023/02/01 11:44:56+00,0c73bd7b08844983be4ab9dd815e2879
146.723976752405,-36.5610838436614,"3408078737",node,18.75,,pharmacy,Myrtleford Discount Pharmacy,,,,,,,,,,,,,,,,,,,,"151",Myrtle Street,"3737",,120439664,2,2022/05/02 00:48:20+00,00044079557541bc8ac7ae205e93ee11
,,"697275819",way,25,clinic,clinic,Feet First Podiatry,,,Podiatry,,,"Mo-Th 08:00-18:00,Fr 08:00-17:00, Sa 08:30-15:00",,,,,,,,,,,,,,"349",Canning Highway,,,144162847,3,2023/11/18 06:08:11+00,089c54abc2cd4bd89efa29fc44fee6b0
152.470678467411,-24.8332965008382,"1120978630",node,15.625,pharmacy,,Carlyle Gardens Chemist,,knowledge,,,,,,,,,yes,,,,,,,,,,,,,32417900,4,2015/07/05 04:49:30+00,bff97036af194e6d94f1cb08bda57b00
,,"41991699",way,31.25,hospital,hospital,Roma Hospital,Qld Health,,,government,,,,,,,,,yes,,,,,,,197-234,McDowall Street,"4455",,142797459,8,2023/10/19 07:11:35+00,963564f0b1a54f7bb4d22fdf7ddc4b33
151.638779858038,-32.7942188389198,"8154130215",node,9.375,doctors,,Providence Medical,,,,,,,,,,,,,,,,,,,,,,,,94627950,1,2020/11/23 09:57:40+00,8bfe159afb0546a78d035db76fc51e78
153.19799405923,-27.7234259168376,"1585160836",node,15.625,pharmacy,,Doctors Surgery,,,,,,,,,,,no,yes,,,,,,,,,,,,121421179,2,2022/05/24 12:18:24+00,0b6afd7c7fc74a47b783406804cf9b9a
151.242020459663,-23.8709015497,"5703461267",node,12.5,pharmacy,pharmacy,,,,,,,,,,,,yes,,,,,,,,,,,,,59993427,1,2018/06/19 23:38:19+00,5b57e67f84304869bb50fac7ca04ee95
115.713906059801,-31.6531453490893,"7715211338",node,21.875,clinic,clinic,Clinipath Pathology,,,,,,,,,,,,,,,,,,,,"2",Captiva Approach,"6036",,88002539,1,2020/07/15 02:38:56+00,596067497e1741c6921b70b8300c5d25
144.940747555541,-37.7200957797497,"4230118825",node,21.875,pharmacy,pharmacy,Kent Road Pharmacy,,,,,,,,,,,,,,,,,,,,"108",Kent Road,"3044",,101679871,2,2021/03/25 01:24:29+00,31ebc8b4ec8645009843b1e39d79679f
151.118135344026,-33.9123959029464,"5265144609",node,12.5,pharmacy,pharmacy,Priceline Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,81865200,3,2020/03/06 11:18:08+00,3683505c226b4bad81f4fc522bd563b5
145.165341237808,-37.8838844541876,"5127953781",node,9.375,,physiotherapist,Physio,,,,,,,,,,,,,,,,,,,,,,,,67277642,2,2019/02/17 12:05:19+00,f9c94b77ceeb480ab1e1120d6dd39543
152.996650519081,-27.465785324023,"5084931476",node,9.375,dentist,,Rosalie Dental,,,,,,,,,,,,,,,,,,,,,,,,51796968,1,2017/09/07 02:29:08+00,ca64b4f4c7bb4da9b10ec062024b68dd
115.915360743987,-32.1172303730488,"11297495628",node,15.625,,alternative,Harrisdale Chiropractic,,,chiropractic,,,"Mo,Fr 08:00-18:00; Tu,Th 08:00-19:00; We 14:00-18:00; Sa 08:00-16:00",,,,,,,,,,,,,,,,,,143617139,2,2023/11/04 14:45:39+00,c6668f6cf23e4b0ca855df4c4f81b7af
145.058513546586,-37.6960360296044,"8454046317",node,25,dentist,dentist,Bundoora Dental Clinic,,,,,,"Mo-Fr 08:00-21:00; Sa 09:00-17:00",,,,,,,,,,,,,,"47",Plenty Road,"3083",,143964249,3,2023/11/13 10:33:21+00,3cb00ef9d8b64b6186c3985413c4809b
,,"265017983",way,9.375,clinic,,Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,36001586,4,2015/12/17 03:19:15+00,9ea5ce91fd554b55b113ebc4d3ee7ac9
146.866978139335,-36.1246218007053,"3427856166",node,9.375,doctors,,Wodonga West Medical Clinic,,,,,,,,,,,,,,,,,,,,,,,,29865531,1,2015/03/31 00:21:18+00,a76c3e6bb9a94bb7a07c309ebaa37d8a
153.024773983523,-27.469005064489,"6320207377",node,12.5,pharmacy,pharmacy,Wizard Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,82035837,2,2020/03/11 05:18:37+00,918105eb15fd43f9bc019196dbd7cc8f
151.953218489871,-27.5580450160729,"1284241605",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,93283241,5,2020/10/30 10:18:15+00,8bc9254d770a405fbb701c3d1b80c26f
