"Proportion of people with long-term health conditions (%)"
,"NSW","Vic","Qld","SA","WA","Tas","NT","ACT","Australia"
"Arthritis","14.7","13.6","13.6","18.2","14.3","20.5","11.2","13.9","14.5"
"Asthma","8.9","12.9","11.4","11.8","9.7","12.7","7.8","11.5","10.8"
"Back problems","13.9","14.7","17.2","17.5","17.6","20.8","15.2","16.7","15.7"
"Cancer","1.9","1.4","1.9","2.1","2.1","2.4","1.6","1.0","1.8"
"Chronic Obstructive Pulmonary Disease (COPD)","2.2","2.1","3.3","2.7","2.6","3.2","1.1","2.5","2.5"
"Diabetes","5.1","5.0","5.1","7.2","5.2","6.1","5.7","3.4","5.3"
"Hay fever and allergic rhinitis","20.6","29.8","18.1","27.6","27.0","26.0","13.4","34.3","23.9"
"Heart, stroke and vascular disease","4.8","4.8","6.5","5.0","5.0","8.1","4.4","3.4","5.2"
"Hypertension","11.0","12.0","11.1","13.7","11.3","16.2","10.2","12.1","11.6"
"Kidney disease","0.8","1.0","1.1","0.9","1.1","2.0","1.7","1.3","1.0"
"Mental and behavioural conditions","22.2","25.6","30.8","28.8","27.0","29.5","21.6","28.1","26.1"
"Osteoporosis","3.8","2.7","3.5","3.0","3.0","4.1","1.5","4.0","3.4"

"Source: Australian Bureau of Statistics, National Health Survey: State and territory findings 2022"
